date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:41:59	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-brands-400.woff2	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-brands-401.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
09:41:59	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-brands-400.woff	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-brands-402.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
09:41:59	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-brands-400.ttf	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-brands-403.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
09:41:59	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-brands-400.svg	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-brands-404.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
09:41:59	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-regular-400.eot	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-regular-400.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
09:41:59	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-regular-400.eot?	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-regular-400d41d.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
09:42:00	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-regular-400.woff2	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-regular-401.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
09:42:00	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-regular-400.woff	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-regular-402.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
09:42:00	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-regular-400.ttf	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-regular-403.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
09:42:00	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-regular-400.svg	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-regular-404.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
09:42:00	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-solid-900.eot	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-solid-900.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
09:42:00	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-solid-900.eot?	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-solid-900d41d.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
09:42:00	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-solid-900.woff2	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-solid-901.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
09:42:00	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-solid-900.woff	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-solid-902.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
09:42:00	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-solid-900.ttf	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-solid-903.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
09:42:00	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-solid-900.svg	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-solid-904.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
09:42:00	673/673	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2003%20Aug%202022%2004:11:59%20GMT	http://hms.rguktsklm.ac.in/url	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/url.html	(from http://hms.rguktsklm.ac.in/home.php)
09:42:00	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/texts.ttf	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/texts.html	(from http://hms.rguktsklm.ac.in/css/style.css)
09:42:00	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-brands-400.eot	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-brands-400.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
09:42:00	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-brands-400.eot?	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-brands-400d41d.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
09:42:00	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-brands-400.woff2	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-brands-401.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
09:42:00	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-brands-400.woff	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-brands-402.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
09:42:00	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-brands-400.ttf	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-brands-403.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
09:42:00	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-brands-400.svg	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-brands-404.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
09:42:00	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-regular-400.eot	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-regular-400.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
09:42:00	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-regular-400.eot?	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-regular-400d41d.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
09:42:00	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-regular-400.woff2	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-regular-401.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
09:42:00	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-regular-400.woff	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-regular-402.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
09:42:00	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-regular-400.ttf	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-regular-403.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
09:42:00	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-regular-400.svg	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-regular-404.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
09:42:00	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-solid-900.eot	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-solid-900.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
09:42:00	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-solid-900.eot?	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-solid-900d41d.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
09:42:00	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-solid-900.woff2	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-solid-901.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
09:42:00	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-solid-900.woff	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-solid-902.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
09:42:00	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-solid-900.ttf	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-solid-903.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
09:42:00	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-solid-900.svg	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-solid-904.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
